course_title,course_organization,course_rating,course_learn,course_difficulty
Google Data Analytics,Google,4.8,Data Analysis,Beginner
Google Cybersecurity,Google,4.8,Network Security,Beginner
Google Project Management:,Google,4.8,Project Management,Beginner
Google Digital Marketing & E-commerce,Google,4.8,Digital Marketing,Beginner
Google IT Support,Google,4.8,Computer Networking,Beginner
Google UX Design,Google,4.8,User Experience,Beginner
IBM Data Science,IBM,4.6,Python Programming,Beginner
Machine Learning,Multiple educators,4.9,Machine Learning,Beginner
IBM Data Analyst,IBM,4.6,Python Programming,Beginner
Google AI Essentials,Google,4.7,Machine Learning,Beginner
IBM AI Developer,IBM,4.6,Machine Learning,Beginner
IBM DevOps and Software Engineering,IBM,4.6,DevOps,Beginner
IBM Full Stack Software Developer,IBM,4.6,Cloud Computing,Beginner
Deep Learning,DeepLearning.AI,4.8,Machine Learning,Intermediate
Introduction to Data Science,IBM,4.6,Data Science,Beginner
Data Science Fundamentals with Python and SQL,IBM,4.6,Python Programming,Beginner
IBM Data Engineering,IBM,4.6,Data Management,Beginner
Key Technologies for Business,IBM,4.7,Algorithms,Beginner
IBM & Darden Digital Strategy,University of Virginia Darden School Foundation,4.7,Business Analysis,Beginner
IBM Back-End Development,IBM,4.6,Software Engineering,Beginner
Data Engineering Foundations,IBM,4.6,Data Management,Beginner
Applied Data Science,IBM,4.6,Python Programming,Beginner
IBM Data Analytics with Excel and R,IBM,4.7,Data Analysis,Beginner
Data Analysis and Visualization Foundations,IBM,4.7,Microsoft Excel,Beginner
Applied Software Engineering Fundamentals,IBM,4.6,Software Engineering,Beginner
IBM AI Foundations for Business,IBM ,4.7,Machine Learning,Beginner
IBM AI Product Manager,SkillUp EdTech,4.7,Algorithms,Beginner
Google Advanced Data Analytics,Google,4.7,Communication,Advanced
AI Foundations for Everyone,IBM,4.7,Human Learning,Beginner
Generative AI with Large Language Models,DeepLearning.AI,4.8,Machine Learning,Intermediate
Microsoft Power BI Data Analyst,Microsoft,4.6,Data Analysis,Beginner
Foundations of Project Management,Google,4.9,Project Management,Beginner
Meta Front-End Developer,Meta,4.7,HTML and CSS,Beginner
Prompt Engineering,Vanderbilt University,4.8,Creativity,Beginner
IBM Business Intelligence (BI) Analyst,SkillUp EdTech,4.7,Data Management,Beginner
"Foundations: Data, Data, Everywhere",Google,4.8,Data Analysis,Beginner
Google IT Automation with Python,Google,4.7,Cloud Computing,Beginner
IBM and ISC2 Cybersecurity Specialist,Multiple educators,4.7,Computer Security Incident Management,Beginner
Meta Social Media Marketing,Meta,4.8,Marketing,Beginner
AI For Everyone,DeepLearning.AI,4.8,Data Science,Beginner
Supervised Machine Learning: Regression and Classification,DeepLearning.AI,4.9,Machine Learning,Beginner
Cloud Application Development Foundations,IBM,4.6,Cloud Computing,Beginner
"DevOps, Cloud, and Agile Foundations",IBM,4.7,DevOps,Beginner
Foundations of Cybersecurity,Google,4.9,Linux,Beginner
Business Foundations,University of Pennsylvania,4.7,Accounting,Beginner
IBM IT Support,IBM,4.7,Cloud Computing,Beginner
Generative AI for Everyone,DeepLearning.AI,4.8,Strategy,Beginner
AI in Healthcare,Stanford University,4.7,Machine Learning,Beginner
IBM Full-Stack JavaScript Developer,IBM,4.5,Software Engineering,Beginner
Intuit Academy Bookkeeping,Intuit,4.6,Accounting,Beginner
Mathematics for Machine Learning and Data Science,DeepLearning.AI,4.6,Machine Learning,Beginner
Information Technology (IT) and Cloud Fundamentals,IBM,4.7,Cloud Computing,Beginner
IBM IT Project Manager,SkillUp EdTech,4.8,Software Engineering,Beginner
IBM Data Warehouse Engineer,IBM,4.7,Data Management,Beginner
Foundations of Digital Marketing and E-commerce,Google,4.8,Digital Marketing,Beginner
Generative AI Fundamentals,IBM,4.7,Business Transformation,Beginner
"BI Foundations with SQL, ETL and Data Warehousing",IBM,4.6,Data Management,Beginner
IBM Back-end JavaScript Developer,IBM,4.6,Software Engineering,Beginner
AI For Business,University of Pennsylvania,4.7,Machine Learning,Beginner
Technical Support Fundamentals,Google,4.8,Communication,Beginner
Machine Learning Engineering for Production (MLOps),DeepLearning.AI,4.7,Machine Learning,Advanced
Generative AI for Software Developers,IBM,4.7,Software Engineering,Intermediate
IBM AI Engineering,IBM,4.6,Machine Learning,Intermediate
Generative AI for Data Scientists,IBM,4.7,Data Analysis,Intermediate
Generative AI for Data Analysts,IBM,4.7,Data Analysis,Intermediate
Generative AI for Product Managers,SkillUp EdTech,4.7,Product Lifecycle,Intermediate
IBM Applied DevOps Engineering,IBM,4.7,DevOps,Intermediate
IBM Front-End Developer,IBM,4.6,Software Engineering,Beginner
IBM IT Scrum Master,SkillUp EdTech,4.8,DevOps,Beginner
Python for Everybody,University of Michigan,4.8,Computer Programming,Beginner
Meta React Native,Meta,4.7,React (web framework),Beginner
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,4.5,Finance,Beginner
Introduction to Finance and Accounting,University of Pennsylvania,4.6,Accounting,Beginner
Meta iOS Developer,Meta,4.6,Mobile Development,Beginner
Meta Android Developer,Meta,4.6,Mobile Development,Beginner
Business and Financial Modeling,University of Pennsylvania,4.5,Business Analysis,Beginner
Meta Back-End Developer,Meta,4.7,Python Programming,Beginner
IBM Project Manager,SkillUp EdTech,4.8,Software Engineering,Beginner
IBM Cybersecurity Analyst,IBM,4.6,Cryptography,Beginner
DeepLearning.AI TensorFlow Developer,DeepLearning.AI,4.7,Machine Learning,Intermediate
Natural Language Processing,DeepLearning.AI,4.6,Machine Learning,Intermediate
Foundations of User Experience (UX) Design,Google,4.8,User Experience,Beginner
Project Initiation: Starting a Successful Project,Google,4.8,Project Management,Beginner
HRCI Human Resource Associate,HRCI,4.8,Benefits,Beginner
Google Business Intelligence,Google,4.7,Business Intelligence,Advanced
Ask Questions to Make Data-Driven Decisions,Google,4.7,Business Communication,Beginner
Play It Safe: Manage Security Risks,Google,4.8,Audit,Beginner
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,4.6,Communication,Mixed
Meta Database Engineer,Meta,4.6,SQL,Beginner
IT Fundamentals for Cybersecurity,IBM,4.6,Cryptography,Beginner
AnÃ¡lisis de Datos de Google,Google,4.8,Data Analysis,Beginner
SAP Technology Consultant,SAP,4.7,Leadership and Management,Beginner
IBM Product Manager,SkillUp EdTech,4.8,Software Engineering,Beginner
Financial Markets,Yale University,4.8,Finance,Beginner
Arizona State University TESOL,Arizona State University,4.9,Human Learning,Beginner
Ciberseguridad de Google,Google,4.9,Computer Programming,Beginner
Microsoft 365 Fundamentals,Microsoft,4.7,Visual Design,Beginner
Prompt Engineering for ChatGPT,Vanderbilt University,4.8,Creativity,Beginner
Neural Networks and Deep Learning,DeepLearning.AI,4.9,Artificial Neural Networks,Intermediate
Microsoft Cybersecurity Analyst,Microsoft,4.7,Cloud Computing,Beginner
Advanced Learning Algorithms,DeepLearning.AI,4.9,Applied Machine Learning,Beginner
GestiÃ³n de Proyectos de Google,Google,4.9,Leadership and Management,Beginner
Excel Skills for Business,Macquarie University,4.9,Spreadsheet Software,Beginner
The Bits and Bytes of Computer Networking,Google,4.7,Computer Networking,Beginner
Indigenous Canada,University of Alberta,4.8,Critical Thinking,Mixed
IBM Machine Learning,IBM,4.6,Machine Learning,Intermediate
Connect and Protect: Networks and Network Security,Google,4.8,Network Security,Beginner
Graphic Design,California Institute of the Arts,4.7,Graphic Design,Beginner
Google Marketing Digital e E-Commerce,Google,4.8,E-Commerce,Beginner
Prepare Data for Exploration,Google,4.8,Data Management,Beginner
Introduction to Statistics,Stanford University,4.6,General Statistics,Beginner
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,4.9,Human Learning,Beginner
Preparing for Google Cloud Certification: Cloud Architect,Google Cloud,4.7,Google Cloud Platform,Intermediate
Project Planning: Putting It All Together,Google,4.8,Project Management,Beginner
IBM Introduction to Machine Learning,IBM,4.6,Machine Learning,Intermediate
Business Analytics,University of Pennsylvania,4.6,Data Analysis,Beginner
Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud,4.7,Cloud Computing,Intermediate
Attract and Engage Customers with Digital Marketing,Google,4.8,Digital Marketing,Beginner
Foundations of Positive Psychology,University of Pennsylvania,4.8,Resilience,Beginner
Introduction to Psychology,Yale University,4.9,Critical Thinking,Beginner
The Materiality of ESG Factors,University of Pennsylvania,4.7,Risk Management,Beginner
Architecting with Google Compute Engine,Google Cloud,4.7,Cloud Applications,Intermediate
Digital Product Management,University of Virginia,4.7,Agile Software Development,Beginner
"JavaScript Programming with React, Node & MongoDB",IBM,4.4,Javascript,Beginner
"Python for Data Science, AI & Development",IBM,4.6,Python Programming,Beginner
Google Cloud Database Engineer,Google Cloud,4.7,Databases,Intermediate
Introduction to Generative AI,Google Cloud,4.6,Artificial Neural Networks,Beginner
Medical Billing and Coding Fundamentals,MedCerts,4.8,Communication,Beginner
Leading the Modern Day Business,University of Virginia,4.7,Leadership and Management,Beginner
Search Engine Optimization (SEO),"University of California, Davis",4.6,Marketing,Beginner
AI Product Management,Duke University,4.6,Machine Learning,Beginner
Agile Project Management,Google,4.8,Agile Software Development,Beginner
"Start the UX Design Process: Empathize, Define, and Ideate",Google,4.8,Audit,Beginner
Learn SQL Basics for Data Science,"University of California, Davis",4.6,Databases,Beginner
Construction Management,Columbia University,4.7,Project Management,Beginner
DiseÃ±o de Experiencia del Usuario (UX) de Google,Google,4.8,User Experience,Beginner
Entrepreneurship,University of Pennsylvania,4.8,Entrepreneurship,Beginner
Preparing for Google Cloud Certification: Cloud Security Engineer,Google Cloud,4.7,Cloud Computing,Intermediate
Supply Chain Management,Rutgers the State University of New Jersey,4.7,Supply Chain Systems,Beginner
Meta Marketing Analytics,Meta,4.8,Marketing,Beginner
Preparing for Google Cloud Certification: Cloud DevOps Engineer,Google Cloud,4.7,DevOps,Beginner
AWS Cloud Solutions Architect,Amazon Web Services,4.8,Amazon Web Services,Intermediate
Tools of the Trade: Linux and SQL,Google,4.8,Linux,Beginner
Leadership Skills,IIMA - IIM Ahmedabad,4.9,Communication,Beginner
Tableau Business Intelligence Analyst,Tableau Learning Partner,4.7,Business Analysis,Beginner
Linear Algebra for Machine Learning and Data Science,DeepLearning.AI,4.5,Algebra,Beginner
Preparing for Google Cloud Certification: Cloud Developer,Google Cloud,4.7,Cloud Applications,Intermediate
Architecting with Google Kubernetes Engine,Google Cloud,4.7,Cloud Computing,Beginner
UCI Project Management,"University of California, Irvine",4.7,Leadership and Management,Beginner
Process Data from Dirty to Clean,Google,4.8,Data Analysis,Beginner
Preparing for Google Cloud Certification: Cloud Network Engineer,Google Cloud,4.7,Cloud Computing,Intermediate
Regulatory Compliance,University of Pennsylvania,4.8,Regulations and Compliance,Intermediate
Networking in Google Cloud,Google Cloud,4.7,Cloud Computing,Intermediate
Writing in the Sciences,Stanford University,4.9,Writing,Beginner
Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud,4.5,Machine Learning,Intermediate
Developing Applications with Google Cloud,Google Cloud,4.7,Cloud API,Intermediate
Principles of Management,Johns Hopkins University,4.7,Leadership and Management,Mixed
Digital Marketing,University of Illinois at Urbana-Champaign,4.7,Digital Marketing,Beginner
Security in Google Cloud,Google Cloud,4.7,Google Cloud Platform,Intermediate
Crash Course on Python,Google,4.8,Computer Programming,Beginner
Pharmacy Technician Fundamentals,MedCerts,4.8,Communication,Beginner
AWS Fundamentals,Amazon Web Services,4.8,Amazon Web Services,Beginner
Data Analysis and Presentation Skills: the PwC Approach,PwC,4.6,Data Analysis,Beginner
Improve Your English Communication Skills,Georgia Institute of Technology,4.7,Communication,Beginner
AWS Cloud Technology Consultant,Amazon Web Services,4.8,Amazon Web Services,Beginner
Project Execution: Running the Project,Google,4.8,Leadership and Management,Beginner
What is Data Science?,IBM,4.7,Big Data,Beginner
Business Analytics with Excel: Elementary to Advanced,Johns Hopkins University,4.8,Business Analysis,Intermediate
Generative Adversarial Networks (GANs),DeepLearning.AI,4.7,Machine Learning,Intermediate
Salesforce Sales Operations,Salesforce,4.6,Sales,Beginner
Modern Project Management Certificate,SkillUp EdTech,4.6,Business Analysis,Beginner
Bookkeeping Basics,Intuit,4.6,Accounting,Beginner
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,4.6,FinTech,Beginner
Fundamentals of Project Planning and Management,University of Virginia,4.7,Project Management,Beginner
Introduction to Data Analytics,IBM,4.8,Data Analysis,Beginner
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,4.9,Negotiation,Mixed
Data Structures and Algorithms,University of California San Diego,4.6,Algorithms,Intermediate
Certified in Cybersecurity,ISC2,4.8,Computer Security Incident Management,Beginner
DevOps on AWS,Amazon Web Services,4.8,Amazon Web Services,Intermediate
AI for Medicine,DeepLearning.AI,4.7,Machine Learning,Intermediate
Successful Negotiation: Essential Strategies and Skills,University of Michigan,4.8,Contract Management,Beginner
Think like a CFO,IESE Business School,4.8,Finance,Beginner
"Unsupervised Learning, Recommenders, Reinforcement Learning",DeepLearning.AI,4.9,Algorithms,Beginner
Operating Systems and You: Becoming a Power User,Google,4.7,Linux,Beginner
Foundations of Management,IESE Business School,4.8,Leadership and Management,Beginner
Business Strategy,University of Virginia,4.8,Strategy,Beginner
Reinforcement Learning,University of Alberta,4.7,Machine Learning,Intermediate
Algorithms,Stanford University,4.8,Algorithms,Intermediate
Microsoft Azure Data Engineering Associate (DP-203),Microsoft,4.4,Data Management,Intermediate
Analyze Data to Answer Questions,Google,4.6,Data Analysis,Beginner
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,4.7,Front-End Web Development,Mixed
Project Launch,"University of California, Irvine",4.7,Leadership and Management,Beginner
Private Equity and Venture Capital,UniversitÃ  Bocconi,4.8,Business Analysis,Mixed
Cybersecurity Fundamentals,IBM,4.8,System Security,Beginner
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,4.9,Applied Machine Learning,Intermediate
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,4.9,Writing,Beginner
"Assets, Threats, and Vulnerabilities",Google,4.8,Cryptography,Beginner
Genomic Data Science,Johns Hopkins University,4.5,Bioinformatics,Intermediate
Introduction to Programming with Python and Java,University of Pennsylvania,4.5,Computer Programming,Beginner
Data Science,Johns Hopkins University,4.5,R Programming,Beginner
Programming for Everybody (Getting Started with Python),University of Michigan,4.8,Algorithms,Beginner
Capstone: Applying Project Management in the Real World,Google,4.8,Communication,Beginner
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,4.7,Computer Programming,Intermediate
Mathematics for Machine Learning,Imperial College London,4.6,Algebra,Beginner
Introduction to Artificial Intelligence (AI),IBM,4.7,Algorithms,Beginner
Financial Engineering and Risk Management,Columbia University,4.5,Finance,Intermediate
Data Analysis with R Programming,Google,4.8,R Programming,Beginner
OKR Certification: Leadership and Goal Setting,Measure What Matters,4.9,Leadership and Management,Beginner
Connected Leadership,Yale University,4.8,Leadership and Management,Beginner
Security Analyst Fundamentals,IBM,4.7,Security Strategy,Beginner
Getting started with Google Workspace,Google Cloud,4.7,Collaboration,Beginner
Software Product Management,University of Alberta,4.7,Software Engineering,Beginner
Introduction to Social Media Marketing,Meta,4.8,Communication,Beginner
TensorFlow: Advanced Techniques,DeepLearning.AI,4.8,Deep Learning,Intermediate
"NoSQL, Big Data, and Spark Foundations",IBM,4.4,Apache,Beginner
Google Professional Workspace Administrator,Google Cloud,4.7,Account Management,Beginner
Python 3 Programming,University of Michigan,4.7,Python Programming,Beginner
AI for Good,DeepLearning.AI,4.8,Artificial Neural Networks,Beginner
Agile Development,University of Virginia,4.7,Agile Software Development,Beginner
(ISC)Â² Systems Security Certified Practitioner (SSCP),ISC2,4.7,Security Engineering,Beginner
From Likes to Leads: Interact with Customers Online,Google,4.8,Digital Marketing,Beginner
Meta Data Analyst,Meta,4.7,Probability & Statistics,Beginner
Share Data Through the Art of Visualization,Google,4.6,Business Communication,Beginner
